order_id,customer_id,restaurant_name,cuisine,order_datetime,delivery_time_min,order_value,discount_percent,payment_method,rating,delivery_city,delivery_partner,food_items,cancellation_reason,refund_amount,order_date,order_hour,order_day,is_rated
15907,4106,Spice Villa,Japanese,2025-03-17 00:07:04,60.0,958.0,32.08,Card,5.0,Pune,Deepak,South Thali,No cancellation,0.0,2025-03-17,0,Monday,True
51750,4817,Burger Hub,North Indian,2025-08-25 06:06:04,48.0,958.0,25.79,Cash,5.0,Bangalore,Fatima,Noodles,Rider unavailable,0.0,2025-08-25,6,Monday,True
52556,9739,Spice Villa,Mexican,2025-03-15 11:54:04,60.0,958.0,0.0,Card,5.0,Pune,Rohan,"Pizza, Coke",No cancellation,0.0,2025-03-15,11,Saturday,True
52879,2384,Noodle House,North Indian,2025-10-22 05:12:04,60.0,958.0,38.62,Wallet,0.0,Bangalore,Kiran,"Pizza, Coke",No cancellation,0.0,2025-10-22,5,Wednesday,False
98872,2864,Tandoori Nights,Chinese,2025-02-17 12:31:04,60.0,723.03,28.72,Wallet,2.1,Hyderabad,Sana,Sushi Set,Restaurant busy,237.5,2025-02-17,12,Monday,True
24960,6741,Biryani Express,Fast Food,2025-08-29 10:51:04,60.0,958.0,0.0,Card,4.6,Pune,Kiran,South Thali,No cancellation,0.0,2025-08-29,10,Friday,True
55125,5526,Veggie Point,North Indian,2025-09-25 07:54:04,60.0,958.0,0.0,Wallet,4.4,Mumbai,Kiran,"Pizza, Coke",Customer Cancelled,0.0,2025-09-25,7,Thursday,True
37029,4018,Veggie Point,Fast Food,2025-01-06 08:33:04,40.0,958.0,0.0,Cash,0.0,Hyderabad,Kiran,"Burger, Fries",Restaurant busy,0.0,2025-01-06,8,Monday,False
55223,3598,Biryani Express,South Indian,2025-05-25 23:47:04,60.0,958.0,0.0,Cash,5.0,Bangalore,Kiran,Sushi Set,Restaurant busy,0.0,2025-05-25,23,Sunday,True
84691,7734,Sushi World,North Indian,2025-01-29 05:14:04,60.0,958.0,0.0,Upi,0.0,Kolkata,Amit,South Thali,No cancellation,0.0,2025-01-29,5,Wednesday,False
70829,6522,Spice Villa,Mexican,2025-09-05 09:22:04,60.0,958.0,17.1,Upi,3.0,Mumbai,Harsh,Sushi Set,Rider unavailable,0.0,2025-09-05,9,Friday,True
