order_id,customer_id,restaurant_name,cuisine,order_datetime,delivery_time_min,order_value,discount_percent,payment_method,rating,delivery_city,delivery_partner,food_items,restaurant_lat,restaurant_long,user_lat,user_long,cancellation_reason,refund_amount
15907,4106,SPICE VILLA,Japanese,2025-03-17 00:07:04,delay,NA,32.08,Card,five,Pune,Deepak,South Thali,16.27806216668147,76.12360328805066,20.916233397714848,76.11456242093175,,
51750,4817,burger hub,north indian,2025-08-25 06:06:04,48,,25.79,CASH,five,Bangalore,Fatima,Noodles,17.432142966463125,78.15488944761856,19.47239577264761,76.97351735799542,Rider unavailable,pending
52556,9739,Spice Villa,Mexican,2025-03-15 11:54:04,delay,NA,,Card,five,Pune,Rohan,"Pizza, Coke",26.27729902475344,81.74047906394706,21.984147808114262,87.64019420393072,,
52879,2384,Noodle House,north indian,2025-10-22 05:12:04,,,38.62,Wallet,,Bangalore,Kiran,"Pizza, Coke",21.581054875922604,83.7797424803055,16.954463230060803,76.93303924364844,,
98872,2864,Tandoori Nights,Chinese,2025-02-17 12:31:04,,723.03,28.72,Wallet,2.1,Hyderabad,Sana,Sushi Set,16.425177374358846,83.97355827696573,18.192787608784094,73.26398113463546,Restaurant busy,237.5
24960,6741,Biryani Express,Fast Food,2025-08-29 10:51:04,,NA,,Card,4.6,Pune,Kiran,South Thali,22.51970419618619,74.7036991322662,16.452224880420342,74.860621189904,,
55125,5526,Veggie Point,north indian,2025-09-25 07:54:04,,,,Wallet,4.4,Mumbai,Kiran,"Pizza, Coke",15.035479958277964,78.01719769515645,16.83127890666707,76.63078142460233,Customer Cancelled,pending
37029,4018,Veggie Point,Fast Food,2025-01-06 08:33:04,40,,,Cash,,Hyderabad,Kiran,"Burger, Fries",22.63096787148755,82.06241849582896,20.485093317424415,82.29553064441181,Restaurant busy,pending
55223,3598,Biryani Express,South Indian,2025-05-25 23:47:04,,,,CASH,five,Bangalore,Kiran,Sushi Set,28.468157149955083,85.72270776648612,18.75307704657176,83.58018310490733,Restaurant busy,pending
84691,7734,Sushi World,north indian,2025-01-29 05:14:04,delay,,,UPI,,Kolkata,Amit,South Thali,21.99883745254046,85.11357338330926,21.301576904573334,75.79813083832774,,
70829,6522,Spice Villa,Mexican,2025-09-05 09:22:04,,NA,17.1,UPI,3.0,Mumbai,Harsh,Sushi Set,19.505283997142705,74.2172856867296,13.50622783241114,85.58088129949107,Rider unavailable,0
13698,2226,Pizza Craft,north indian,2025-08-23 16:56:04,delay,,,Net Banking,five,Hyderabad,Sana,Biryani,23.49354021434452,81.76817964478556,13.402278585801758,79.7361032582379,Customer Cancelled,419.02
40057,2052,Pizza Craft,South Indian,2025-07-17 18:07:04,,685.48,,Net Banking,,Pune,Sana,Biryani,18.346505792611424,87.20236098514336,19.357735565639828,87.19285284460051,Customer Cancelled,0
29824,2942,Burger Hub,ITALIAN,2025-06-12 01:37:04,delay,,13.7,CASH,4.0,Mumbai,Deepak,South Thali,27.829285185012843,79.10335242132423,16.388883859450953,84.53169132298977,Rider unavailable,223.43
76598,8049,Burger Hub,north indian,2025-04-01 21:14:04,delay,,3.96,Net Banking,,Mumbai,Fatima,Noodles,23.955911915818717,86.78857825636337,20.983437584564374,72.99505185894382,Customer Cancelled,pending
72663,1671,Sushi World,Chinese,2025-10-09 20:36:04,,,9.71,Net Banking,4.9,Pune,Sana,"Pizza, Coke",23.783381472932234,83.8757194873501,17.232473217468907,80.98847083160352,,
41967,4271,Café Bliss,North Indian,2025-09-08 10:41:04,delay,,19.51,upi,,Delhi,Deepak,South Thali,23.583252118657185,83.100557416958,16.190610345645666,87.23255045696561,,
11599,5275,Burger Hub,Fast Food,2025-08-01 14:23:04,34,1642.9,,CASH,five,Bangalore,Harsh,Sushi Set,23.763013477877607,73.2543341161216,19.589578958275276,73.36719157119919,,
13860,5635,Noodle House,Chinese,2025-03-11 03:26:04,,1542.68,,UPI,3.6,Bangalore,Amit,Noodles,19.779012738159537,83.93929242672844,14.372127945130375,80.45804946399278,Restaurant busy,0
84050,5795,burger hub,ITALIAN,2025-02-12 22:42:04,,NA,,Net Banking,,Bangalore,Kiran,South Thali,25.80083493966722,80.67888050848697,26.477270991048005,85.4750473925527,,
